recency,frequency,monetary,monetary_percentile_adj,recency_percentile_adj,frequency_percentile_adj,rfm_class,detail_cust_title
7,11,3018.0899999999992,2,3,3,323,Loyal Customer
128,3,2226.26,2,2,1,122,High Risk Customer
102,8,3362.8099999999995,2,2,2,222,Potential Customer
195,2,220.57,1,1,1,111,Lost Customer
16,6,2394.94,2,3,2,223,Loyal Customer
64,5,3946.55,2,2,1,122,High Risk Customer
253,3,220.10999999999999,1,1,1,111,Lost Customer
22,10,7066.939999999999,3,3,2,233,Very Loyal
78,6,2353.1099999999997,2,2,2,222,Potential Customer
43,5,3358.2800000000007,2,2,1,122,High Risk Customer
46,6,3638.8400000000006,2,2,2,222,Potential Customer
67,7,3540.0299999999997,2,2,2,222,Potential Customer
27,7,4337.38,2,3,2,223,Loyal Customer
47,3,1713.9,2,2,1,122,High Risk Customer
35,6,1728.39,2,2,2,222,Potential Customer
99,5,4521.839999999999,2,2,1,122,High Risk Customer
0,5,2015.6100000000001,2,3,1,123,Recent Customer
134,7,3543.38,2,2,2,222,Potential Customer
102,3,2951.79,2,2,1,122,High Risk Customer
31,4,3608.2799999999997,2,2,1,122,High Risk Customer
6,5,4229.41,2,3,1,123,Recent Customer
97,8,5159.84,3,2,2,232,Potential Customer
10,6,4376.15,2,3,2,223,Loyal Customer
17,7,3689.35,2,3,2,223,Loyal Customer
5,12,5333.660000000001,3,3,3,333,Platinum Customer
259,2,268.2399999999999,1,1,1,111,Lost Customer
143,7,3274.250000000001,2,2,2,222,Potential Customer
83,6,3366.5600000000004,2,2,2,222,Potential Customer
22,9,6175.299999999999,3,3,2,233,Very Loyal
11,3,2633.95,2,3,1,123,Recent Customer
89,4,426.10999999999996,1,2,1,112,High Risk Customer
138,7,2823.12,2,2,2,222,Potential Customer
38,7,5294.27,3,2,2,232,Potential Customer
102,8,4825.59,2,2,2,222,Potential Customer
92,4,3706.5099999999998,2,2,1,122,High Risk Customer
163,2,204.35999999999999,1,2,1,112,High Risk Customer
7,9,6338.490000000001,3,3,2,233,Very Loyal
50,4,2025.34,2,2,1,122,High Risk Customer
34,12,6085.17,3,2,3,332,Very Loyal
14,6,4552.1,2,3,2,223,Loyal Customer
29,9,4698.89,2,3,2,223,Loyal Customer
111,4,427.04,1,2,1,112,High Risk Customer
61,9,3619.9500000000003,2,2,2,222,Potential Customer
35,7,4768.28,2,2,2,222,Potential Customer
43,3,1048.1499999999999,2,2,1,122,High Risk Customer
53,5,1623.6299999999997,2,2,1,122,High Risk Customer
35,7,4332.1900000000005,2,2,2,222,Potential Customer
82,8,5561.08,3,2,2,232,Potential Customer
36,5,4248.68,2,2,1,122,High Risk Customer
26,8,5783.66,3,3,2,233,Very Loyal
55,8,4855.4,2,2,2,222,Potential Customer
4,6,5417.83,3,3,2,233,Very Loyal
7,5,2950.07,2,3,1,123,Recent Customer
67,7,4098.21,2,2,2,222,Potential Customer
46,8,3220.86,2,2,2,222,Potential Customer
2,7,1275.2399999999998,2,3,2,223,Loyal Customer
35,6,5117.96,3,2,2,232,Potential Customer
20,8,3501.37,2,3,2,223,Loyal Customer
22,3,2628.37,2,3,1,123,Recent Customer
200,2,647.22,1,1,1,111,Lost Customer
47,6,4254.240000000001,2,2,2,222,Potential Customer
5,6,4920.879999999999,2,3,2,223,Loyal Customer
68,3,2190.05,2,2,1,122,High Risk Customer
3,5,546.6799999999997,1,3,1,113,Recent Customer
136,6,4441.61,2,2,2,222,Potential Customer
43,5,4549.200000000001,2,2,1,122,High Risk Customer
116,5,1203.2899999999997,2,2,1,122,High Risk Customer
84,3,3842.5599999999995,2,2,1,122,High Risk Customer
20,6,5294.75,3,3,2,233,Very Loyal
4,5,2736.9,2,3,1,123,Recent Customer
131,1,155.6500000000001,1,2,1,112,High Risk Customer
22,4,2559.7799999999997,2,3,1,123,Recent Customer
168,6,2316.51,2,2,2,222,Potential Customer
28,3,966.5200000000001,1,3,1,113,Recent Customer
60,8,4979.94,2,2,2,222,Potential Customer
1,8,2868.16,2,3,2,223,Loyal Customer
101,3,1657.5800000000002,2,2,1,122,High Risk Customer
211,2,82.25999999999999,1,1,1,111,Lost Customer
43,6,2597.46,2,2,2,222,Potential Customer
28,10,5988.86,3,3,2,233,Very Loyal
4,4,3249.02,2,3,1,123,Recent Customer
78,5,2924.37,2,2,1,122,High Risk Customer
80,6,1798.1999999999998,2,2,2,222,Potential Customer
28,7,2295.2200000000003,2,3,2,223,Loyal Customer
37,6,563.3699999999999,1,2,2,212,Potential Customer
0,9,2360.09,2,3,2,223,Loyal Customer
18,9,3740.7599999999998,2,3,2,223,Loyal Customer
74,6,2534.3300000000004,2,2,2,222,Potential Customer
4,9,5779.65,3,3,2,233,Very Loyal
30,7,2990.73,2,3,2,223,Loyal Customer
9,8,5242.410000000001,3,3,2,233,Very Loyal
34,3,2967.4399999999996,2,2,1,122,High Risk Customer
79,3,2976.4099999999994,2,2,1,122,High Risk Customer
33,7,4902.21,2,2,2,222,Potential Customer
38,4,3050.8099999999995,2,2,1,122,High Risk Customer
70,3,1135.25,2,2,1,122,High Risk Customer
102,8,4911.209999999999,2,2,2,222,Potential Customer
122,5,1930.5600000000002,2,2,1,122,High Risk Customer
2,9,4557.65,2,3,2,223,Loyal Customer
11,2,877.4,1,3,1,113,Recent Customer
8,4,2589.89,2,3,1,123,Recent Customer
42,7,2587.01,2,2,2,222,Potential Customer
49,5,913.3199999999999,1,2,1,112,High Risk Customer
64,8,3550.2600000000007,2,2,2,222,Potential Customer
89,4,3475.04,2,2,1,122,High Risk Customer
1,3,2513.69,2,3,1,123,Recent Customer
81,4,2343.9700000000003,2,2,1,122,High Risk Customer
10,3,2557.42,2,3,1,123,Recent Customer
8,10,4430.66,2,3,2,223,Loyal Customer
14,7,2621.55,2,3,2,223,Loyal Customer
147,4,3014.53,2,2,1,122,High Risk Customer
47,6,5742.1900000000005,3,2,2,232,Potential Customer
175,6,2329.4900000000002,2,2,2,222,Potential Customer
70,4,2195.2599999999998,2,2,1,122,High Risk Customer
14,8,3135.87,2,3,2,223,Loyal Customer
